id;id_certificate;certificate_nm;cert_scope_nm
1;75643;Congolese Franc;Checking Account Handmade Granite Mouse
2;21915;Administrator Tools;actuating
3;71491;Refined Wallis and Futuna User-friendly;Auto Loan Account transmit Plastic
4;5965;Unions Berkshire responsive;Borders
5;30096;Decentralized Synergized;Toys Forint
6;42573;innovate Advanced synthesize;gold superstructure
7;77911;Handmade Metal Bacon Architect;Automotive mission-critical
8;69795;South Carolina Consultant;systems
9;17145;analyzer;Awesome Delaware B2C
10;47822;Washington Ergonomic Steel Fish;Planner intuitive Web
