id;start_date;end_date;language
1;2020-11-06T04:47:42;2020-11-06T02:37:57;SPANISH
2;2020-11-05T09:37:53;2020-11-06T04:42:18;SPANISH
3;2020-11-06T00:33:12;2020-11-05T11:07:21;FRENCH
4;2020-11-05T15:50:43;2020-11-06T03:22:09;FRENCH
5;2020-11-06T01:21:01;2020-11-06T06:08:00;FRENCH
6;2020-11-05T19:13:22;2020-11-06T07:21:36;FRENCH
7;2020-11-05T20:58:42;2020-11-05T14:49:33;FRENCH
8;2020-11-05T19:54:55;2020-11-06T06:11:03;SPANISH
9;2020-11-05T18:36:04;2020-11-05T15:17:27;SPANISH
10;2020-11-06T02:48:08;2020-11-05T13:22:38;SPANISH
