id;resource_pool_code;resource_pool_nm;pool_leader
1;leading-edge value-added;fault-tolerant Sri Lanka Rupee;Unbranded Ergonomic Granite Cheese Fish
2;Tunnel orchestrate;payment;Kids Louisiana
3;open-source payment Sleek;asymmetric bandwidth-monitored aggregate;Taka
4;maximized transform;Indiana Incredible Frozen Keyboard;Toys Wooden
5;Optimized;revolutionary Buckinghamshire driver;Intranet coherent Lilangeni
6;Granite;Assistant;port input Intuitive
7;Libyan Dinar;application Table;olive
8;Gorgeous Fresh Cheese extensible;Group;withdrawal
9;customer loyalty Facilitator;Division Table needs-based;Avon
10;Eritrea Horizontal Peso Uruguayo Uruguay Peso en Unidades Indexadas;connecting withdrawal;circuit
